id,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,rows_id,rank
4498,courier_code,J Logist,JLOGIST,,,,,,,,,,,,,,,,,,,,1000
4499,courier_code,Doobal Hero,CHAINLOGIS,,,,,,,,,,,,,,,,,,,,1000
4500,courier_code,Q Run,QRUN,,,,,,,,,,,,,,,,,,,,1000
4501,courier_code,Fresh Solutions,FRESHSOLUTIONS,,,,,,,,,,,,,,,,,,,,1000
4502,courier_code,Hive City,HIVECITY,,,,,,,,,,,,,,,,,,,,1000
4503,courier_code,Han Ssem,HANSSEM,,,,,,,,,,,,,,,,,,,,1000
4504,courier_code,SFC(Santai),SFC,,,,,,,,,,,,,,,,,,,,1000
4505,courier_code,J-NET,JNET,,,,,,,,,,,,,,,,,,,,1000
4506,courier_code,Good to Luck,GOODSTOLUCK,,,,,,,,,,,,,,,,,,,,1000
4507,courier_code,GENIEGO,PANASIA,,,,,,,,,,,,,,,,,,,,1000
4508,courier_code,elianpost,ELIAN,,,,,,,,,,,,,,,,,,,,1000
4509,courier_code,LOTTECHILSUNG,LOTTECHILSUNG,,,,,,,,,,,,,,,,,,,,1000
4510,courier_code,SBGLS,SBGLS,,,,,,,,,,,,,,,,,,,,1000
4511,courier_code,ALLTAKOREA,ALLTAKOREA,,,,,,,,,,,,,,,,,,,,1000
4512,courier_code,yunda express,YUNDA,,,,,,,,,,,,,,,,,,,,1000
4513,courier_code,VALEX,VALEX,,,,,,,,,,,,,,,,,,,,1000
4514,courier_code,KOKUSAI express,KOKUSAI,,,,,,,,,,,,,,,,,,,,1000
4515,courier_code,WINHAND SEA & AIR,XINPATEK,,,,,,,,,,,,,,,,,,,,1000
4516,courier_code,Tango and Go,HEREWEGO,,,,,,,,,,,,,,,,,,,,1000
4517,courier_code,WOONGJI express,WOONGJI,,,,,,,,,,,,,,,,,,,,1000
4518,courier_code,PINGPONG,PINGPONG,,,,,,,,,,,,,,,,,,,,1000
4519,courier_code,YDH,YDH,,,,,,,,,,,,,,,,,,,,1000
4520,courier_code,CARGOPLEASE,CARGOPLEASE,,,,,,,,,,,,,,,,,,,,1000
4521,courier_code,LOGISPOT,LOGISPOT,,,,,,,,,,,,,,,,,,,,1000
4522,courier_code,FRESHMATES,FRESHMATES,,,,,,,,,,,,,,,,,,,,1000
4523,courier_code,VROONG,VROONG,,,,,,,,,,,,,,,,,,,,1000
4524,courier_code,NK Logisolution,NKLS,,,,,,,,,,,,,,,,,,,,1000
4525,courier_code,DODOFLEX,DODOFLEX,,,,,,,,,,,,,,,,,,,,1000
4526,courier_code,ETOMARS,ETOMARS,,,,,,,,,,,,,,,,,,,,1000
4527,courier_code,SHIPNERGY,SHIPNERGY,,,,,,,,,,,,,,,,,,,,1000
4528,courier_code,VENDORPIA,VENDORPIA,,,,,,,,,,,,,,,,,,,,1000
4529,courier_code,COSHIP,COSHIP,,,,,,,,,,,,,,,,,,,,1000
4530,courier_code,GDAKOREA,GDAKOREA,,,,,,,,,,,,,,,,,,,,1000
4531,courier_code,BABABA LOGIS,BABABA,,,,,,,,,,,,,,,,,,,,1000
4532,courier_code,TEAMFRESH,TEAMFRESH,,,,,,,,,,,,,,,,,,,,1000
4533,courier_code,1004 HOME,HOME1004,,,,,,,,,,,,,,,,,,,,1000
4534,courier_code,NAEUN LOGIS,NAEUN,,,,,,,,,,,,,,,,,,,,1000
4535,courier_code,acccargo,ACCCARGO,,,,,,,,,,,,,,,,,,,,1000
4536,courier_code,NTLPS,NTLPS,,,,,,,,,,,,,,,,,,,,1000
4537,courier_code,EKDP,EKDP,,,,,,,,,,,,,,,,,,,,1000
4538,courier_code,HOTSINGCARGO KOREA,HOTSINGCARGO,,,,,,,,,,,,,,,,,,,,1000
4539,courier_code,SINOTRANS EXPRESS,SINOEX,,,,,,,,,,,,,,,,,,,,1000
4549,courier_code,DRABBIT,DRABBIT,,,,,,,,,,,,,,,,,,,,1000
4550,courier_code,HOMEPICKTODAY,HOMEPICKTODAY,,,,,,,,,,,,,,,,,,,,1000
4551,courier_code,DAERIM Logistics,DAERIM,,,,,,,,,,,,,,,,,,,,1000
4552,courier_code,LOGISPARTNER,LOGISPARTNER,,,,,,,,,,,,,,,,,,,,1000
4553,courier_code,GOBOX,GOBOX,,,,,,,,,,,,,,,,,,,,1000
4554,courier_code,FASTBOX,FASTBOX,,,,,,,,,,,,,,,,,,,,1000
4555,courier_code,PANSTAR,PANSTAR,,,,,,,,,,,,,,,,,,,,1000
4556,courier_code,ACTCORE,ACTCORE,,,,,,,,,,,,,,,,,,,,1000
4557,courier_code,KJT,KJT,,,,,,,,,,,,,,,,,,,,1000
4558,courier_code,THEBAO,THEBAO,,,,,,,,,,,,,,,,,,,,1000
4559,courier_code,RUSH,RUSH,,,,,,,,,,,,,,,,,,,,1000
4560,courier_code,kt express,KT,,,,,,,,,,,,,,,,,,,,1000
4561,courier_code,ibpcorp,IBP,,,,,,,,,,,,,,,,,,,,1000
